album_name,track_name,track_release,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,key_mode
Taylor Swift,Tim McGraw,6/19/2006,0.58,0.491,-6.462,0.0251,0.575,0,0.121,0.425,76.009,4,232107,C major
Taylor Swift,Picture To Burn,10/24/2006,0.658,0.877,-2.098,0.0323,0.173,0,0.0962,0.821,105.586,4,173067,G major
Taylor Swift,Teardrops On My Guitar,10/24/2006,0.621,0.417,-6.941,0.0231,0.288,0,0.119,0.289,99.953,4,203040,A# major
Taylor Swift,A Place In This World,10/24/2006,0.576,0.777,-2.881,0.0324,0.051,0,0.32,0.428,115.028,4,199200,A major
Taylor Swift,Cold As You,10/24/2006,0.418,0.482,-5.769,0.0266,0.217,0,0.123,0.261,175.558,4,239013,F major
Taylor Swift,The Outside,10/24/2006,0.589,0.805,-4.055,0.0293,0.00491,0,0.24,0.591,112.982,4,207107,F major
Taylor Swift,Tied Together With A Smile,10/24/2006,0.479,0.578,-4.963,0.0294,0.525,0,0.0841,0.192,146.165,4,248107,D major
Taylor Swift,Stay Beautiful,10/24/2006,0.594,0.629,-4.919,0.0246,0.0868,0,0.137,0.504,131.597,4,236053,G# major
Taylor Swift,Should've Said No,10/24/2006,0.476,0.777,-3.771,0.0289,0.0103,0,0.196,0.472,167.964,4,242200,E minor
Taylor Swift,Mary's Song (Oh My My My),10/24/2006,0.403,0.627,-5.28,0.0292,0.0177,0,0.182,0.374,74.9,4,213080,D major
Taylor Swift,Our Song,10/24/2006,0.668,0.672,-4.931,0.0303,0.111,0,0.329,0.539,89.011,4,201107,D major
Taylor Swift,I'm Only Me When I'm With You,3/18/2008,0.563,0.934,-3.629,0.0646,0.00452,8.07e-4,0.103,0.518,143.964,4,213053,G# major
Taylor Swift,Invisible,3/18/2008,0.612,0.394,-5.723,0.0243,0.637,0,0.147,0.233,96.001,4,203227,G major
Taylor Swift,A Perfectly Good Heart,3/18/2008,0.483,0.751,-5.726,0.0365,0.00349,0,0.128,0.268,156.092,4,220147,E major
Taylor Swift,Teardrops On My Guitar (Pop Version),3/18/2008,0.459,0.753,-3.827,0.0537,0.0402,0,0.0863,0.483,199.997,4,179067,A# major
